build_or_sprint_id,intended_outcome,actual_implemented_capability,still_active,superseding_implementation,duplicated_or_contradictory_claims,useful_decisions_to_preserve,evidence_paths,capability_ids,notes
build-016,historic numbered build 16,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-016-report.md,see crosswalk notes,do not treat as proof of implementation
build-018,historic numbered build 18,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-018-architecture-audit.md,see crosswalk notes,do not treat as proof of implementation
build-021,historic numbered build 21,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-021-report.md,see crosswalk notes,do not treat as proof of implementation
build-022,historic numbered build 22,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-022-report.md,see crosswalk notes,do not treat as proof of implementation
build-023,historic numbered build 23,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-023-report.md,see crosswalk notes,do not treat as proof of implementation
build-024,historic numbered build 24,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-024-report.md,see crosswalk notes,do not treat as proof of implementation
build-025,historic numbered build 25,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-025-report.md,see crosswalk notes,do not treat as proof of implementation
build-026,historic numbered build 26,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-026-report.md,see crosswalk notes,do not treat as proof of implementation
build-027,historic numbered build 27,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-027-report.md,see crosswalk notes,do not treat as proof of implementation
build-028,historic numbered build 28,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-028-report.md,see crosswalk notes,do not treat as proof of implementation
build-029,historic numbered build 29,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-029-report.md,see crosswalk notes,do not treat as proof of implementation
build-030,entity intelligence adapter era,entity adapters + coverage,PARTIAL active via countries/companies/universities adapters,superseded partially by later OS shells,claims in docs may overstate,adapter design doc,docs/build-030-report.md; docs/build-030a-entity-intelligence-adapter-design.md,CAP-007,stale narrative risk
build-031,historic numbered build 31,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-031-report.md,see crosswalk notes,do not treat as proof of implementation
build-032,historic numbered build 32,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-032-report.md,see crosswalk notes,do not treat as proof of implementation
build-033,historic numbered build 33,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-033-report.md,see crosswalk notes,do not treat as proof of implementation
build-034,historic numbered build 34,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-034-report.md,see crosswalk notes,do not treat as proof of implementation
build-035,historic numbered build 35,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-035-report.md,see crosswalk notes,do not treat as proof of implementation
build-036,historic numbered build 36,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-036-report.md,see crosswalk notes,do not treat as proof of implementation
build-037,historic numbered build 37,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-037-report.md,see crosswalk notes,do not treat as proof of implementation
build-038,historic numbered build 38,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-038-report.md,see crosswalk notes,do not treat as proof of implementation
build-039,historic numbered build 39,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-039-report.md,see crosswalk notes,do not treat as proof of implementation
build-040,historic numbered build 40,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-040-report.md,see crosswalk notes,do not treat as proof of implementation
build-041,historic numbered build 41,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-041-report.md,see crosswalk notes,do not treat as proof of implementation
build-042,historic numbered build 42,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-042-report.md,see crosswalk notes,do not treat as proof of implementation
build-043,historic numbered build 43,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-043-report.md,see crosswalk notes,do not treat as proof of implementation
build-044,historic numbered build 44,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-044-report.md,see crosswalk notes,do not treat as proof of implementation
build-045,historic numbered build 45,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-045-report.md,see crosswalk notes,do not treat as proof of implementation
build-046,historic numbered build 46,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-046-report.md,see crosswalk notes,do not treat as proof of implementation
build-047,historic numbered build 47,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-047-report.md,see crosswalk notes,do not treat as proof of implementation
build-048,historic numbered build 48,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-048-report.md,see crosswalk notes,do not treat as proof of implementation
build-049,historic numbered build 49,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-049-report.md,see crosswalk notes,do not treat as proof of implementation
build-050,enterprise alpha milestone,platform shell + workspaces,PARTIAL still referenced,later final-intelligence-os verification,alpha complete language unsupported,preserve architecture decisions carefully,docs/build-050-enterprise-alpha-report.md,CAP-001..CAP-020,stale 'final' language
build-051,historic numbered build 51,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-051-report.md,see crosswalk notes,do not treat as proof of implementation
build-052,historic numbered build 52,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-052-report.md,see crosswalk notes,do not treat as proof of implementation
build-053,historic numbered build 53,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-053-report.md,see crosswalk notes,do not treat as proof of implementation
build-054,historic numbered build 54,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-054-report.md,see crosswalk notes,do not treat as proof of implementation
build-055,historic numbered build 55,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-055-report.md,see crosswalk notes,do not treat as proof of implementation
build-056,historic numbered build 56,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-056-report.md,see crosswalk notes,do not treat as proof of implementation
build-057,historic numbered build 57,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-057-report.md,see crosswalk notes,do not treat as proof of implementation
build-058,historic numbered build 58,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-058-report.md,see crosswalk notes,do not treat as proof of implementation
build-059,historic numbered build 59,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-059-report.md,see crosswalk notes,do not treat as proof of implementation
build-060,enterprise alpha milestone,platform shell + workspaces,PARTIAL still referenced,later final-intelligence-os verification,alpha complete language unsupported,preserve architecture decisions carefully,docs/build-060-enterprise-alpha-final.md,CAP-001..CAP-020,stale 'final' language
build-061,historic numbered build 61,see report body,UNKNOWN without full re-read,later builds / current modules,numbered build ≠ product completeness,decision fragments may still apply,docs/build-061-report.md,see crosswalk notes,do not treat as proof of implementation
build-001-to-061-integration-audit,integration audit across builds,claims integration matrix,DOCUMENTATION_ONLY,current census supersedes as inventory,contradictory completeness claims,useful as index of modules,docs/build-001-to-061-integration-audit.md,many,REQUIRES_HUMAN_REVIEW
build-ledger,ledger of builds,index,DOCUMENTATION_ONLY,this census,n/a,index utility,docs/build-ledger.md,many,stale
RI/recovery-sprints,acceptance-recovery-*,recovery of country/search journeys,PARTIAL historic,current entity pages,may claim fixed,preserve journey lessons,docs/acceptance-recovery-*.md,"CAP-007,CAP-021",verify still true
alpha-0.2/0.3/0.6,alpha sprint reports,core intelligence / workspace / stability,DOCUMENTATION_ONLY,current OS,overclaim risk,decisions,docs/alpha-*.md,CAP-006,stale
voice-command-orchestrator-sprint,voice OS,orchestrator+navigator,PARTIAL→PROVEN code paths,CAP-002/003 active,nav teardown policy conflict in docs,lifecycle decisions,docs/verification/voice-*/; docs/architecture/*voice*,"CAP-002,CAP-003",policy oscillation
auth-collaboration-voice-os,auth collab routes,guest gates + shells,PARTIAL,"CAP-017,CAP-024",placeholder honesty,nav survive decision,docs/verification/auth-collaboration-voice-os/; docs/architecture/auth-collaboration-voice-os-decisions.md,"CAP-002,CAP-024",Realtime EXTERNAL_BLOCKED
spatial-world-intelligence,globe home,interactive globe,PROVEN_AND_INTEGRATED,CAP-001,n/a,geo asset choices,docs/verification/spatial-world-screenshots/; scripts/test-spatial-world-intelligence.ts,CAP-001,none
ontology-forward-deployed-engines,FDE+ontology,engine workspace,PROVEN_AND_INTEGRATED UI,"CAP-022,CAP-023",vs lib/intelligence,security boundary docs,docs/architecture/forward-deployed-engines.md; ontology-*,CAP-022,none
operational-object-system,OO,composer+store,PROVEN_AND_INTEGRATED,CAP-004,vs ontology,preserve OO ids,docs/verification/operational-object-system/,CAP-004,none
final-intelligence-os,UI verification pack,screenshots many routes,verification assets not runtime,current UI may have drifted,screenshots ≠ security,visual baseline,docs/verification/final-intelligence-os/,many,drift UNVERIFIED
