path,current_label,resolved_label,capability,consumers,data_role,disposition,confidence,evidence,recovery_path
package.json,unknown/requires human review,local configuration,build-and-tooling,npm scripts; all developers; CI if any,declares deps and scripts; no user data,KEEP,HIGH,Root npm manifest; private cbai-enterprise; scripts reference voice/dev/test tooling; Next/React versions; modified in working tree,Restore from git history or backup checksum in stage-0/checksums-sha256.txt
package-lock.json,unknown/requires human review,local configuration,build-and-tooling,npm ci / npm install,lockfile only; no user data,KEEP,HIGH,SHA-256 recorded in dependency-and-lock-state.md; pairs with package.json,Restore from checksums-sha256.txt / prior backup; npm ci
scripts/dev-voice.mjs,unknown/requires human review,test,voice-operator-dev-tooling,npm run dev:voice; imports voice-dev-utils; spawns local-voice-broker,may write .env.local broker URL marker via utils; never product localStorage,KEEP,HIGH,package.json scripts.dev:voice; header Usage npm run dev:voice; spawn of scripts/local-voice-broker.mjs,Re-run from git/backup; recreate .env.local via example without committing secrets
scripts/doctor-voice.mjs,unknown/requires human review,test,voice-operator-dev-tooling,npm run doctor:voice; test:doctor-voice; imports voice-dev-utils,reads presence of .dev.vars key config without printing secrets,KEEP,HIGH,package.json doctor:voice and test:doctor-voice; docs/.env.example references doctor:voice,Restore script; rerun doctor
scripts/local-voice-broker.mjs,unknown/requires human review,test,voice-operator-dev-tooling,spawned by scripts/dev-voice.mjs; asserted by scripts/test-final-product-completion.ts; loads pages-voice-session-broker,reads .dev.vars locally (dev only); not app runtime bundle,KEEP,HIGH,dev-voice.mjs run(broker...); imports handleVoiceSessionBrokerRequest from lib/voice-operator/session-broker/pages-voice-session-broker.ts; test-final-product-completion asserts local-voice-broker,Keep with Pages Function path functions/api/voice/session.ts as production twin
scripts/voice-dev-utils.mjs,unknown/requires human review,test,voice-operator-dev-tooling,imported by dev-voice.mjs doctor-voice.mjs test-voice-upstream.mjs,may update .env.local broker URL; checks OPENAI_API_KEY presence only,KEEP,HIGH,Static imports from sibling voice scripts; shared ports/URLs; no app/components import,Restore with voice tooling set
scripts/verify-auth-collaboration-voice-os-ui.mjs,unknown/requires human review,test,auth-collaboration-verification,Manual Playwright; cited docs/verification/auth-collaboration-voice-os/FINAL-REPORT.md; companion scripts/test-auth-collaboration-voice-os.ts,writes screenshots under docs/verification/; may touch browser localStorage in page context during capture only,KEEP,HIGH,Script header CBAI_VERIFY_BASE; FINAL-REPORT cites verify script; not in package.json CI scripts (local-only),Re-capture screenshots from script; keep PNG baselines
scripts/verify-final-intelligence-os.mjs,unknown/requires human review,test,final-intelligence-os-verification,Manual Playwright; docs/verification/final-intelligence-os/scorecard.md gate re-run,screenshot outputs under docs/verification/final-intelligence-os/,KEEP,HIGH,scorecard.md cites node scripts/verify-final-intelligence-os.mjs; script header Run: node ...,Re-run script against local server
scripts/verify-final-product-closure.mjs,unknown/requires human review,test,final-product-closure-verification,Manual Playwright; docs/verification/final-product-closure/final-acceptance.md,screenshots docs/verification/final-product-closure/,KEEP,HIGH,final-acceptance.md cites verify-final-product-closure.mjs,Re-run; preserve PNG baselines
scripts/verify-final-product-completion.mjs,unknown/requires human review,test,final-product-completion-verification,Manual; docs/verification/final-system-completion/system-inventory.md lists it,verification assets,KEEP,HIGH,system-inventory.md Scripts list; script header Run: node ...,Re-run; keep reports
scripts/verify-final-system-completion.mjs,unknown/requires human review,test,final-system-completion-verification,Manual before|after; docs/verification/final-system-completion/*,PNG/gate outputs under final-system-completion,KEEP,HIGH,final-report.md and design-decisions.md cite script; header [before|after],Re-run after|before modes
scripts/verify-localization-final.mjs,unknown/requires human review,test,localization-verification,Manual Playwright; pairs with test:locale-completeness / localization-closure,screenshots; may set locale via page evaluate,KEEP,HIGH,Script header Playwright path; i18n verification family; not package.json wired (local),Re-run; keep locale PNG baselines
scripts/verify-ontology-forward-deployed-engines-ui.mjs,unknown/requires human review,test,forward-deployed-engines-verification,Manual Playwright; docs/verification/ontology-forward-deployed-engines/FINAL-REPORT.md; companion test:ontology-forward-deployed-engines,screenshots under ontology-forward-deployed-engines,KEEP,HIGH,FINAL-REPORT cites verify script; FDE product under components/forward-deployed,Re-run; keep screenshots
scripts/verify-operational-object-system.mjs,unknown/requires human review,test,operational-objects-verification,Manual Playwright; companion test:operational-objects; docs/verification/operational-object-system/,screenshots; may create OO in browser storage during capture,KEEP,HIGH,Script header; OO product lib/operational-objects; test script separate,Re-run; user can clear cbai-operational-objects if needed
scripts/verify-platform-ui.mjs,unknown/requires human review,test,platform-shell-verification,Manual Playwright multi-route; docs/verification/platform-completion-screenshots/,screenshots only,KEEP,HIGH,ROUTES list includes / /my-work /knowledge /graph etc.; header local only not CI,Re-run capture
scripts/verify-safari-reality.mjs,unknown/requires human review,test,voice-localization-verification,Manual Playwright; docs/verification/final-intelligence-os/safari-reality/; requires npm run dev:voice,writes assistant profile keys in page localStorage for locale priming during capture,KEEP,HIGH,Header Safari reality; primes cbai-assistant-profile:local; opens voice dock,Re-run with dev:voice; profile key is device-local demo data
scripts/verify-spatial-world-ui.mjs,unknown/requires human review,test,spatial-world-verification,Manual Playwright; docs/verification/spatial-world-screenshots/; companion test:spatial-world-intelligence,screenshots; interacts with globe DOM,KEEP,HIGH,OUT=docs/verification/spatial-world-screenshots; heroVisibility selectors .cbai-spatial-world-home,Re-run; keep PNGs
scripts/verify-voice-command-orchestrator-ui.mjs,unknown/requires human review,test,voice-command-orchestrator-verification,Manual Playwright; docs/verification/voice-command-orchestrator/FINAL-REPORT.md; companion test:voice-command-orchestrator,screenshots,KEEP,HIGH,FINAL-REPORT lists verify-voice-command-orchestrator-ui.mjs,Re-run
scripts/verify-voice-operating-navigator-ui.mjs,unknown/requires human review,test,voice-operating-navigator-verification,Manual Playwright; docs/verification/voice-operating-navigator/FINAL-REPORT.md; companion test:voice-operating-navigator,screenshots,KEEP,HIGH,FINAL-REPORT cites verify-voice-operating-navigator-ui.mjs,Re-run
